text,polarity,subjectivity,Date,retweet count
"RT @RavinarIN: #JaishEKejriwal is right.... Hes very much like a ""mooh-bola"" son of #MasoodAzharDEAD considering he provides so much propag...",0.24857142857142858,0.3319047619047619,2019-03-02 18:13:02,91
"RT @RavinarIN: #JaishEKejriwal is right.... Hes very much like a ""mooh-bola"" son of #MasoodAzharDEAD considering he provides so much propag...",0.24857142857142858,0.3319047619047619,2019-03-02 18:09:52,91
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 18:06:29,30
#MasoodAzharDEAD It is official that India's enemy #MasoodAzhar was killed in the Air Strike on the terrorist train... https://t.co/jOfLPowzUi,-0.2,0.0,2019-03-02 18:05:22,1
RT @india131979: Is it True Masood Azhar Died in Indian Air strike in Balakot? And Pakistan is using illness to hide its face In Pakistan a...,0.35,0.65,2019-03-02 18:04:49,3
RT @TheAmitNijhawan: It appears Masood Azhar is killed in Indian Strike (probably a covert operation or he was at Balakot during Air Strike...,-0.2,0.0,2019-03-02 18:04:39,51
RT @TheAmitNijhawan: @adarsh100194 @oumbharti @squintneon @TajinderBagga @KapilMishra_IND It appears Masood Azhar is killed in Indian Strik...,-0.2,0.0,2019-03-02 18:04:23,5
RT @Rao_V: Even if untrue not so bad rumour to spread  #MasoodAzharDEAD Pak need to dig him out of his rat hole to deny and save face,-0.6999999999999998,0.6666666666666666,2019-03-02 18:03:44,7
RT @deepakthakku: @Javedakhtarjadu @TarekFatah Azhar is dead. He got killed in Balakot air strike by IAF. Pakistan feels ashamed to reveal...,-0.2,0.2,2019-03-02 18:03:30,25
"RT @league_of_india: Did Masood Azhar die in the #IAF strike on #Balakot?

Is the #Pakistan establishment working towards the 'Soft Landing...",0.1,0.35,2019-03-02 18:03:20,19
"RT @pandeyunlimited: Please retweet, if you think Masood Azhar is actually dead (about to die) in #Surgicalstrike2  and Pakistan is trying...",-0.2,0.4,2019-03-02 18:03:09,15
"RT @AYogesa: @Mamdhata @sagarikaghose @ImranKhanPTI @USAmbIndia @StateDept @gettleman Heard #MasoodAzharDEAD 

#HowsTheJaish 
#JaishDeadSir",0.0,0.0,2019-03-02 17:39:03,2
RT @guest31012198: Can crow eater @HamidMirPAK or isis poop swimmer @BDUTT @MoeedNj confirm or take interview of #MasoodAzharDEAD ? @Klasra...,0.0,0.0,2019-03-02 17:38:54,14
#MasoodAzharDEAD in Balakot attack. This is just Porki propaganda. https://t.co/lXgwTVwvdB,-0.1,0.1,2019-03-02 17:34:46,0
"RT @ahindu_: We should realize that even if  #MasoodAzharDEAD,  that matters very little for us.  He was only a leaf of tree of terror plan...",-0.12187500000000001,0.825,2019-03-02 17:34:24,30
"RT @AYogesa: @Mamdhata @sagarikaghose @ImranKhanPTI @USAmbIndia @StateDept @gettleman Heard #MasoodAzharDEAD 

#HowsTheJaish 
#JaishDeadSir",0.0,0.0,2019-03-02 17:30:53,2
"@Mamdhata @sagarikaghose @ImranKhanPTI @USAmbIndia @StateDept @gettleman Heard #MasoodAzharDEAD 

#HowsTheJaish 
#JaishDeadSir",0.0,0.0,2019-03-02 17:30:14,2
"RT @AYogesa: So more proof coming of the #BalakotAirStrike #WarAgainstTerrorism #IndiaStrikesBack #surgicalstrike2 
Bit the imp qsn: #Masoo...",0.5,0.5,2019-03-02 17:27:34,1
