text,polarity,subjectivity,Date,retweet count
rt AT_USER stop bluffing pakis...we all know the truth masoodazhardead,0.0,0.0,2019-03-02 16:52:22,1
rt AT_USER AT_USER AT_USER azhar is dead. he got killed in balakot air strike by iaf. pakistan feels ashamed to reveal...,-0.2,0.2,2019-03-02 16:52:10,25
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 16:52:08,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 16:52:05,30
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 16:51:09,30
rt AT_USER press release from jannat masoodazhar enjoying with hoors. masoodazhardead URL,0.5,0.6,2019-03-02 16:51:04,97
"rt AT_USER we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of terror plan...",-0.121875,0.825,2019-03-02 16:50:22,30
"we should realize that even if masoodazhardead, that matters very little for us. he was only a leaf of tree of... URL",-0.121875,0.825,2019-03-02 16:49:17,30
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 16:48:00,15
rt AT_USER seems like masoodazhardead in the balakot attack. could not be saved in the hospital.,0.0,0.0,2019-03-02 16:46:44,2
AT_USER AT_USER azhar is dead. he got killed in balakot air strike by iaf. pakistan feels ashamed to r... URL,-0.2,0.2,2019-03-02 16:46:32,25
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 16:46:30,15
"rt AT_USER AT_USER .AT_USER imrankhan plz confirm or deny like a true pathan aleays speaking truth, masoodazhar is dead?...",0.07499999999999997,0.525,2019-03-02 16:46:14,2
"rt AT_USER .AT_USER imrankhan plz confirm or deny like a true pathan aleays speaking truth, masoodazhar is dead? if alive sho...",0.08333333333333333,0.4833333333333334,2019-03-02 16:45:43,3
stop bluffing pakis...we all know the truth masoodazhardead,0.0,0.0,2019-03-02 16:45:32,1
".AT_USER imrankhan plz confirm or deny like a true pathan aleays speaking truth, masoodazhar is dead? if... URL",0.07499999999999997,0.525,2019-03-02 16:45:31,3
"rt AT_USER AT_USER .AT_USER imrankhan plz confirm or deny like a true pathan aleays speaking truth, masoodazhar is dead?...",0.07499999999999997,0.525,2019-03-02 16:45:06,2
"AT_USER .AT_USER imrankhan plz confirm or deny like a true pathan aleays speaking truth, masoodazhar... URL",0.35,0.65,2019-03-02 16:44:44,2
rt AT_USER masood azhar reportedly dead in surgicalstrike2 masoodazhardead,-0.2,0.4,2019-03-02 16:43:44,6
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER the complete silence of masoodazhar after indianairforce...,0.1,0.4,2019-03-02 16:43:23,30
rt AT_USER masoodazhardead cried like a bitch when slapped by an indian army officer. URL,0.0,0.0,2019-03-02 16:43:16,6
rt AT_USER press release from jannat masoodazhar enjoying with hoors. masoodazhardead URL,0.5,0.6,2019-03-02 16:43:15,97
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 16:42:08,15
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER let pakistan produce him alive to counter...,0.1,0.4,2019-03-02 16:42:04,1
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 16:41:49,15
seems like masoodazhardead in the balakot attack. could not be saved in the hospital.,0.0,0.0,2019-03-02 16:39:48,2
rt AT_USER masoodazhardead can goi AT_USER AT_USER please confirm?. our media houses doesn't do any investigation anymore AT_USER,0.0,0.0,2019-03-02 16:39:16,2
masoodazhardead cried like a bitch when slapped by an indian army officer. URL,0.0,0.0,2019-03-02 16:38:46,6
masoodazhardead was a coward. one slap from an indian army officer and he started crying like a little girl ,-0.19375,0.55,2019-03-02 16:37:47,2
"rt AT_USER AT_USER maulana masood azhar, was an ""easy man"" to handle in custody and he got shaken up on the first ""slap"" .........",0.3416666666666667,0.5833333333333334,2019-03-02 16:35:55,3
rt AT_USER can crow eater AT_USER or isis poop swimmer AT_USER AT_USER confirm or take interview of masoodazhardead ? AT_USER,0.0,0.0,2019-03-02 16:34:50,14
"rt AT_USER AT_USER haha...hope the ""mooh-bola"" son of masoodazhardead&gt; AT_USER resigns his delhi cm post &amp; accepts po...",0.0,0.0,2019-03-02 16:34:49,4
"rt AT_USER AT_USER indian muslims thinking muslimpress (1) there is one muslim nation, one muslim language, and one muslim cul...",0.0,0.0,2019-03-02 16:34:44,2
rt AT_USER AT_USER AT_USER sir it is not tongue slip. masoodazhardead he is trying to hide that.,0.0,0.0,2019-03-02 16:34:38,2
rt AT_USER AT_USER AT_USER sir masoodazhardead . this one is a camouflage. how could a foreign minister's tongue sli...,-0.125,0.125,2019-03-02 16:34:33,2
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER the complete silence of masoodazhar after indianairforce...,0.1,0.4,2019-03-02 16:34:28,30
rt AT_USER can crow eater AT_USER or isis poop swimmer AT_USER AT_USER confirm or take interview of masoodazhardead ? AT_USER,0.0,0.0,2019-03-02 16:34:16,14
"rt AT_USER jaishekejriwal is right.... hes very much like a ""mooh-bola"" son of masoodazhardead considering he provides so much propag...",0.24857142857142855,0.3319047619047619,2019-03-02 16:34:09,91
"rt AT_USER welcomebackabhinandan god bless!! [?] but i doubt abt ""peace"" untill we avenge for ur martyrs.. we need masoodazhard...",0.0,0.0,2019-03-02 16:33:05,1
rt AT_USER pakistan is making plot to declare masoodazhardead. they also make a fake yt channel 1 hour ago and started posting old...,-0.2,0.6,2019-03-02 16:33:02,12
"rt AT_USER 26th feb iaf bombs jem training camp. 27th feb ambulances at jem camp, personally supervided by masood azar 02nd march...",0.0,0.3,2019-03-02 16:32:52,4
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER it appears masood azhar is killed in indian strik...,-0.2,0.0,2019-03-02 16:32:37,5
rt AT_USER AT_USER mr.squinty i think there is a need to trend this!!! masoodazhardead,0.0,0.0,2019-03-02 16:32:26,5
rt AT_USER did masood azhar die in the iaf strike on balakot? is the pakistan establishment working towards the 'soft landing...,0.1,0.35,2019-03-02 16:32:22,19
rt AT_USER is masoodazhardead maybe chor kejri can takeover and name it jaishekejriwal,0.0,0.0,2019-03-02 16:32:14,2
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER the complete silence of masoodazhar after indianairforce...,0.1,0.4,2019-03-02 16:32:11,30
"rt AT_USER source chor ,haha it was AT_USER who said this masoodazhardead URL",0.2,0.3,2019-03-02 16:32:07,5
rt AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER my sources with AT_USER AT_USER,0.0,0.0,2019-03-02 16:32:04,12
rt AT_USER AT_USER sir looks like masood azhar jannat pahoch gaya. hence pakis are giving sudden excuse of renal failure blah bla...,-0.12222222222222225,0.2833333333333334,2019-03-02 16:32:00,7
"rt AT_USER please retweet, if you think masood azhar is actually dead (about to die) in surgicalstrike2 and pakistan is trying...",-0.2,0.4,2019-03-02 16:31:56,15
rt AT_USER plz ask pakistan if masoodazhardead ? surgicalstrike2 AT_USER AT_USER AT_USER AT_USER AT_USER AT_USER,0.0,0.0,2019-03-02 16:31:45,1
rt AT_USER masood azhar reportedly dead in surgicalstrike2 masoodazhardead,-0.2,0.4,2019-03-02 16:31:36,6
rt AT_USER the only one who praised barkha for her journalism is dead now. ab kaun compliments dega? masoodazhardead,-0.1,0.7,2019-03-02 16:31:34,44
rt AT_USER AT_USER jaishekejriwal son of masoodazhardead . this is too good.,0.7,0.6000000000000001,2019-03-02 16:31:32,9
